,tweets,
389,"""BIDEN’S WISCONSIN WELCOME PARTY: Just look at all those amazing #TrumpSupporters welcoming #JoeBiden to Manitowoc, Wisconsin! Such a friendly group. No rioting or burning anything to the ground!\n#NoHopeJoe\n#WisconsinIsTrumpCountry\nhttps://t.co/UzZg3Bk3Av""",1
390,"""Name me one single way @JoeBiden can win over a 2016 Trump voter? Trump delivered on his promises from 2016 &amp; the #TrumpTrain is now BIGGER AND BETTER AND STRONGER THAN EVER BEFORE! 🇺🇸""",1
391,"""Donald can't say there'll be a peaceful transfer of power because he has the #BoogalooBoys, #ProudBoys, neoNazis, KKK, AltRight and other #WhiteSupremacists lined up to commit #terrorism upon his orders. #TerroristsForTrump #TrumpSupporters\n#AmericaOrTrump\nhttps://t.co/UAqjT4EmOR""",1
392,"""@realDonaldTrump Yeah she should have donated right? https://t.co/nBtCU11F1n""",2
393,"""@theblaze How come #Conservatives are too impotent and stupid to address the issue of RED STATE WELFARE and the massive wealth redistribution from the hardworking MAKER blue states to the lazy welfare red TAKER states? Why do #TrumpSupporters like being on their KNEES for the blue states? https://t.co/k0QOtGzCbK""",0
394,"""I can second this message. It’s a lot of undercover I come in contact with especially black peoples.""",2
395,"""⁦@pritipatel⁩ #BuildTheWall\n\nPriti Patel 'furious over asylum plan leaks' amid Channel barrage idea\n https://t.co/ljwCowGD8V""",2
396,"""@doubleddana84 @GOPcanSUCKit @kastyle05 @1957Mom @andreanorred @AynRandPaulRyan @JoeBiden Your avi advertises your belief that masks are ineffective rendering your opinions to be null and void.""",2
397,"""@benshapiro Looking for the #TrumpSupporters to not be so condescending. Keep your eye on the real story. The #POTUS has never taken #COVID19 seriously, maybe now is the time, if not too late.""",0
398,"""That’s strange, I have never heard of @realstevecox but apparently he has blocked me...https://t.co/2MKgoAFPdB""",2
